����,�n�l(BID),���l(BID),���l(BID),�I�l(BID),���l(ASK),���l(ASK)
20150501101000,94.346,94.350,94.330,94.332,94.357,94.337,LOWやで～
20150501101100,94.332,94.365,94.329,94.352,94.372,94.336,HIGHやで～
20150501101200,94.352,94.367,94.352,94.366,94.374,94.359,HIGHやで～
20150501101300,94.366,94.366,94.315,94.317,94.373,94.322,LOWやで～
20150501101400,94.317,94.339,94.316,94.336,94.346,94.323,HIGHやで～
20150501101500,94.336,94.338,94.330,94.337,94.345,94.337,HIGHやで～
20150501101600,94.336,94.362,94.336,94.360,94.369,94.343,HIGHやで～
20150501101700,94.361,94.366,94.329,94.331,94.373,94.336,LOWやで～
20150501101800,94.331,94.336,94.321,94.333,94.343,94.328,HIGHやで～
20150501101900,94.334,94.354,94.334,94.352,94.361,94.341,HIGHやで～
20150501102000,94.353,94.354,94.318,94.319,94.361,94.325,LOWやで～
20150501102100,94.318,94.331,94.309,94.317,94.338,94.316,LOWやで～
20150501102200,94.318,94.336,94.315,94.319,94.343,94.322,HIGHやで～
20150501102300,94.318,94.343,94.315,94.341,94.350,94.322,HIGHやで～
20150501102400,94.341,94.344,94.327,94.328,94.351,94.334,LOWやで～
20150501102500,94.328,94.347,94.328,94.344,94.354,94.335,HIGHやで～
20150501102600,94.344,94.354,94.340,94.351,94.361,94.347,HIGHやで～
20150501102700,94.352,94.357,94.336,94.342,94.364,94.343,LOWやで～
20150501102800,94.343,94.357,94.343,94.354,94.364,94.350,HIGHやで～
20150501102900,94.355,94.396,94.348,94.350,94.403,94.361,LOWやで～
20150501103000,94.350,94.399,94.348,94.381,94.423,94.381,HIGHやで～
20150501103100,94.381,94.390,94.379,94.388,94.397,94.386,HIGHやで～
20150501103200,94.388,94.409,94.387,94.402,94.416,94.394,HIGHやで～
20150501103300,94.402,94.410,94.395,94.404,94.417,94.402,HIGHやで～
20150501103400,94.404,94.410,94.393,94.406,94.417,94.400,HIGHやで～
20150501103500,94.406,94.406,94.385,94.385,94.413,94.392,LOWやで～
20150501103600,94.385,94.411,94.385,94.407,94.418,94.392,HIGHやで～
20150501103700,94.407,94.408,94.395,94.395,94.415,94.402,LOWやで～
20150501103800,94.395,94.400,94.388,94.392,94.407,94.395,LOWやで～
20150501103900,94.392,94.397,94.388,94.388,94.404,94.395,LOWやで～
20150501104000,94.388,94.388,94.380,94.380,94.395,94.387,LOWやで～
20150501104100,94.382,94.396,94.382,94.393,94.403,94.389,HIGHやで～
20150501104200,94.393,94.396,94.382,94.385,94.403,94.389,LOWやで～
